text,is_scam,danger_score
"have you seen it? 3 months of discord nitro for free",1,1
"discord nitro for free in steam store  ",1,1
"discord nitro for free - steam store  ",1,1
"personalize your profile, screenshare in HD",1,0.5
"McDonald's is the world's largest chain of hamburger fast food restaurants, serving around 68 million customers daily in 119 countries across 35,000 outlets.",0,0
"get 3 months of discord nitro. Offer ends august 24 2021 at 11am EDT. Personalise your profile, screen share in HD, upgrade your emojis and more!",1,1
"Hello I am leaving CS:GO and giving away my skins to people who send trade offers. ",1,1
"For first people, I will give away my 3 knives. Donâ€™t be greedy and take few skins",1,1
"yo bro install my cheat for all games + mining crypto 0.1 BTC per day",1,0.78
"i just used the bonjour adios meme here",0,0
"Imagine not realizing that we have 2 bot commands channels in this server",0,0
"AD(active directory) exploit or zero day gets unvailed think about all the buissnes that gets affected and then think about how big dumbster fire windows is then",0,0
"Hello! I'm done with CS:GO and give all my inventory, the first three who send a trade - I will give  a knife",1,10.5
"please help me buy the oculus",1,0.25
"I'm leaving csgo, who needs skins. Here is my trade link, choose a skin and poison the trade, I will accept -",1,0.78
"Hea tamam o zamann",0,0
"XFLonine[steam:110000109389286] connecting",0,0
"Vvvvvv",0,0
"Yeah but silvers are base already.",0,0
"Wait",0,0
